question_id,question_key,primary_place_id,graph_id,subject_node_id,question,answers_json,answer_node_ids_json,acceptable_answers_json,question_entity_ids_json,question_type,answer_type,hop_count,relation_path_json,reasoning_edge_ids_json,evidence_ids_json,source_ids_json,template_id,fact_group_id,generation_method,difficulty,review_status,review_note
HNQ_LS_PLACE_000001_PLACE_000001_HAS_COMPONENT,HNQ_LS_PLACE_000001_PLACE_000001_HAS_COMPONENT,PLACE_000001,PLACE_000001,PLACE_000001,"Theo dữ liệu HanoiQA, Hoàng thành Thăng Long có những hạng mục nào?","[""Khu khảo cổ 18 Hoàng Diệu"",""Đoan Môn"",""Bắc Môn"",""Hậu Lâu"",""Điện Kính Thiên"",""Nhà D67"",""Hầm D67"",""Cột cờ Hà Nội""]","[""ARCHSITE_000001"",""ARCH_000001"",""ARCH_000002"",""ARCH_000003"",""ARCH_000004"",""ARCH_000005"",""ARCH_000006"",""PLACE_000003""]","[[""Khu khảo cổ 18 Hoàng Diệu"",""Khu khảo cổ học 18 Hoàng Diệu"",""Di chỉ 18 Hoàng Diệu""],[""Đoan Môn"",""Cửa Đoan Môn""],[""Bắc Môn"",""Cửa Bắc"",""Cửa Bắc Môn""],[""Hậu Lâu"",""Lầu Công chúa"",""Tĩnh Bắc Lâu"",""Lầu Tĩnh Bắc""],[""Điện Kính Thiên"",""Nền điện Kính Thiên"",""Chính điện Kính Thiên""],[""Nhà D67"",""Phòng họp Bộ Chính trị và Quân ủy Trung ương""],[""Hầm D67"",""Hầm Quân ủy Trung ương""],[""Cột cờ Hà Nội"",""Kỳ đài Hà Nội""]]","[""PLACE_000001""]",list,ArchaeologicalSite|Architecture|Place,1,"[""HAS_COMPONENT""]","[""EDGE_000012"",""EDGE_000008"",""EDGE_000009"",""EDGE_000010"",""EDGE_000011"",""EDGE_000014"",""EDGE_000015"",""EDGE_000013""]","[""EVD_000002"",""EVD_000005"",""EVD_000025"",""EVD_000012"",""EVD_000024"",""EVD_000013"",""EVD_000008"",""EVD_000017"",""EVD_000023""]","[""SRC_000002"",""SRC_000005"",""SRC_000006"",""SRC_000007"",""SRC_000008"",""SRC_000012"",""SRC_000016"",""SRC_000017"",""SRC_000018""]",T_LS_HAS_COMPONENT,FACT_HNQ_LS_PLACE_000001_PLACE_000001_HAS_COMPONENT,template,easy,approved,
HNQ_LS_PLACE_000001_PLACE_000001_HAS_EVENT,HNQ_LS_PLACE_000001_PLACE_000001_HAS_EVENT,PLACE_000001,PLACE_000001,PLACE_000001,Những sự kiện nào được ghi nhận là gắn với Hoàng thành Thăng Long?,"[""Dời đô từ Hoa Lư ra thành Đại La năm 1010"",""Cuộc khai quật Hoàng thành tháng 12 năm 2002"",""UNESCO ghi danh Hoàng thành Thăng Long năm 2010""]","[""EVENT_000001"",""EVENT_000002"",""EVENT_000003""]","[[""Dời đô từ Hoa Lư ra thành Đại La năm 1010"",""Sự kiện dời đô năm 1010""],[""Cuộc khai quật Hoàng thành tháng 12 năm 2002"",""Cuộc khai quật Hoàng thành năm 2002""],[""UNESCO ghi danh Hoàng thành Thăng Long năm 2010"",""Sự kiện công nhận di sản năm 2010""]]","[""PLACE_000001""]",list,Event,1,"[""HAS_EVENT""]","[""EDGE_000021"",""EDGE_000024"",""EDGE_000026""]","[""EVD_000004"",""EVD_000025"",""EVD_000006""]","[""SRC_000004"",""SRC_000005"",""SRC_000018""]",T_LS_HAS_EVENT,FACT_HNQ_LS_PLACE_000001_PLACE_000001_HAS_EVENT,template,easy,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_DYNASTY_000006,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_DYNASTY_000006,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được Nhà Nguyễn cho xây dựng?,"[""Cột cờ Hà Nội""]","[""PLACE_000003""]","[[""Cột cờ Hà Nội"",""Kỳ đài Hà Nội""]]","[""PLACE_000001"",""DYNASTY_000006""]",multi_hop,Place,2,"[""HAS_COMPONENT"",""BUILT_BY""]","[""EDGE_000013"",""EDGE_000096""]","[""EVD_000002"",""EVD_000023""]","[""SRC_000002"",""SRC_000016""]",T_2H_COMPONENT_BUILT_BY,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_DYNASTY_000006,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_ORG_000003,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_ORG_000003,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được Bộ Quốc phòng cho xây dựng?,"[""Nhà D67"",""Hầm D67""]","[""ARCH_000005"",""ARCH_000006""]","[[""Nhà D67"",""Phòng họp Bộ Chính trị và Quân ủy Trung ương""],[""Hầm D67"",""Hầm Quân ủy Trung ương""]]","[""PLACE_000001"",""ORG_000003""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""BUILT_BY""]","[""EDGE_000014"",""EDGE_000101"",""EDGE_000015"",""EDGE_000109""]","[""EVD_000017""]","[""SRC_000012""]",T_2H_COMPONENT_BUILT_BY,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_ORG_000003,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_PERSON_000002,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_PERSON_000002,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được Lê Thái Tổ cho xây dựng?,"[""Điện Kính Thiên""]","[""ARCH_000004""]","[[""Điện Kính Thiên"",""Nền điện Kính Thiên"",""Chính điện Kính Thiên""]]","[""PLACE_000001"",""PERSON_000002""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""BUILT_BY""]","[""EDGE_000011"",""EDGE_000064""]","[""EVD_000002"",""EVD_000008"",""EVD_000009""]","[""SRC_000002"",""SRC_000006""]",T_2H_COMPONENT_BUILT_BY,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_PERSON_000002,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_PERSON_000005,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_PERSON_000005,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được Minh Mạng cho xây dựng?,"[""Hậu Lâu""]","[""ARCH_000003""]","[[""Hậu Lâu"",""Lầu Công chúa"",""Tĩnh Bắc Lâu"",""Lầu Tĩnh Bắc""]]","[""PLACE_000001"",""PERSON_000005""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""BUILT_BY""]","[""EDGE_000010"",""EDGE_000090""]","[""EVD_000002"",""EVD_000013""]","[""SRC_000002"",""SRC_000008""]",T_2H_COMPONENT_BUILT_BY,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_BY_PERSON_000005,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000004,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000004,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được xây dựng vào Năm 1428?,"[""Điện Kính Thiên""]","[""ARCH_000004""]","[[""Điện Kính Thiên"",""Nền điện Kính Thiên"",""Chính điện Kính Thiên""]]","[""PLACE_000001"",""TIME_000004""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""BUILT_IN""]","[""EDGE_000011"",""EDGE_000063""]","[""EVD_000002"",""EVD_000008"",""EVD_000009""]","[""SRC_000002"",""SRC_000006""]",T_2H_COMPONENT_BUILT_IN,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000004,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000006,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000006,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được xây dựng vào Năm 1812?,"[""Cột cờ Hà Nội""]","[""PLACE_000003""]","[[""Cột cờ Hà Nội"",""Kỳ đài Hà Nội""]]","[""PLACE_000001"",""TIME_000006""]",multi_hop,Place,2,"[""HAS_COMPONENT"",""BUILT_IN""]","[""EDGE_000013"",""EDGE_000095""]","[""EVD_000002"",""EVD_000023""]","[""SRC_000002"",""SRC_000016""]",T_2H_COMPONENT_BUILT_IN,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000006,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000007,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000007,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được xây dựng vào Tháng 10 năm 1821?,"[""Hậu Lâu""]","[""ARCH_000003""]","[[""Hậu Lâu"",""Lầu Công chúa"",""Tĩnh Bắc Lâu"",""Lầu Tĩnh Bắc""]]","[""PLACE_000001"",""TIME_000007""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""BUILT_IN""]","[""EDGE_000010"",""EDGE_000089""]","[""EVD_000002"",""EVD_000013""]","[""SRC_000002"",""SRC_000008""]",T_2H_COMPONENT_BUILT_IN,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000007,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000008,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000008,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được xây dựng vào Năm 1967?,"[""Nhà D67"",""Hầm D67""]","[""ARCH_000005"",""ARCH_000006""]","[[""Nhà D67"",""Phòng họp Bộ Chính trị và Quân ủy Trung ương""],[""Hầm D67"",""Hầm Quân ủy Trung ương""]]","[""PLACE_000001"",""TIME_000008""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""BUILT_IN""]","[""EDGE_000014"",""EDGE_000100"",""EDGE_000015"",""EDGE_000108""]","[""EVD_000017""]","[""SRC_000012""]",T_2H_COMPONENT_BUILT_IN,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_IN_TIME_000008,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_WITH_MATERIAL_000001,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_WITH_MATERIAL_000001,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được xây dựng bằng Gỗ?,"[""Điện Kính Thiên""]","[""ARCH_000004""]","[[""Điện Kính Thiên"",""Nền điện Kính Thiên"",""Chính điện Kính Thiên""]]","[""PLACE_000001"",""MATERIAL_000001""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""BUILT_WITH""]","[""EDGE_000011"",""EDGE_000068""]","[""EVD_000002"",""EVD_000008"",""EVD_000011""]","[""SRC_000002"",""SRC_000006""]",T_2H_COMPONENT_BUILT_WITH,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_WITH_MATERIAL_000001,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_WITH_MATERIAL_000003,HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_WITH_MATERIAL_000003,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long được xây dựng bằng Gạch?,"[""Hậu Lâu""]","[""ARCH_000003""]","[[""Hậu Lâu"",""Lầu Công chúa"",""Tĩnh Bắc Lâu"",""Lầu Tĩnh Bắc""]]","[""PLACE_000001"",""MATERIAL_000003""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""BUILT_WITH""]","[""EDGE_000010"",""EDGE_000092""]","[""EVD_000002"",""EVD_000013""]","[""SRC_000002"",""SRC_000008""]",T_2H_COMPONENT_BUILT_WITH,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_BUILT_WITH_MATERIAL_000003,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_STYLE_ASTYLE_000001,HNQ_2H_PLACE_000001_T_2H_COMPONENT_STYLE_ASTYLE_000001,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long mang phong cách Kiến trúc cung đình thời Lê?,"[""Đoan Môn"",""Điện Kính Thiên""]","[""ARCH_000001"",""ARCH_000004""]","[[""Đoan Môn"",""Cửa Đoan Môn""],[""Điện Kính Thiên"",""Nền điện Kính Thiên"",""Chính điện Kính Thiên""]]","[""PLACE_000001"",""ASTYLE_000001""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""HAS_ARCHITECTURAL_STYLE""]","[""EDGE_000008"",""EDGE_000087"",""EDGE_000011"",""EDGE_000067""]","[""EVD_000002"",""EVD_000012"",""EVD_000008"",""EVD_000011""]","[""SRC_000002"",""SRC_000006"",""SRC_000007""]",T_2H_COMPONENT_STYLE,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_STYLE_ASTYLE_000001,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_STYLE_ASTYLE_000002,HNQ_2H_PLACE_000001_T_2H_COMPONENT_STYLE_ASTYLE_000002,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long mang phong cách Kiến trúc thời Nguyễn?,"[""Hậu Lâu""]","[""ARCH_000003""]","[[""Hậu Lâu"",""Lầu Công chúa"",""Tĩnh Bắc Lâu"",""Lầu Tĩnh Bắc""]]","[""PLACE_000001"",""ASTYLE_000002""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""HAS_ARCHITECTURAL_STYLE""]","[""EDGE_000010"",""EDGE_000093""]","[""EVD_000002"",""EVD_000013""]","[""SRC_000002"",""SRC_000008""]",T_2H_COMPONENT_STYLE,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_STYLE_ASTYLE_000002,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_STYLE_ASTYLE_000003,HNQ_2H_PLACE_000001_T_2H_COMPONENT_STYLE_ASTYLE_000003,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long mang phong cách Kiến trúc quân sự thời kháng chiến chống Mỹ?,"[""Nhà D67""]","[""ARCH_000005""]","[[""Nhà D67"",""Phòng họp Bộ Chính trị và Quân ủy Trung ương""]]","[""PLACE_000001"",""ASTYLE_000003""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""HAS_ARCHITECTURAL_STYLE""]","[""EDGE_000014"",""EDGE_000103""]","[""EVD_000017""]","[""SRC_000012""]",T_2H_COMPONENT_STYLE,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_STYLE_ASTYLE_000003,template,medium,approved,
HNQ_2H_PLACE_000001_T_2H_COMPONENT_USED_FOR_ACTIVITY_000001,HNQ_2H_PLACE_000001_T_2H_COMPONENT_USED_FOR_ACTIVITY_000001,PLACE_000001,PLACE_000001,PLACE_000001,Hạng mục nào của Hoàng thành Thăng Long từng được sử dụng để Thiết triều?,"[""Điện Kính Thiên""]","[""ARCH_000004""]","[[""Điện Kính Thiên"",""Nền điện Kính Thiên"",""Chính điện Kính Thiên""]]","[""PLACE_000001"",""ACTIVITY_000001""]",multi_hop,Architecture,2,"[""HAS_COMPONENT"",""USED_FOR""]","[""EDGE_000011"",""EDGE_000069""]","[""EVD_000002"",""EVD_000008"",""EVD_000010""]","[""SRC_000002"",""SRC_000006""]",T_2H_COMPONENT_USED_FOR,FACT_HNQ_2H_PLACE_000001_T_2H_COMPONENT_USED_FOR_ACTIVITY_000001,template,medium,approved,
